o,id,genre,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date
85305,947816,Country,0.449,0.328,0.852,77.717,-12.29,1,10,0.759,4.12E-06,0.189,0.0353,0,139053,0,1930,1
78224,848784,Country,0.729,0.268,0.764,95.404,-12.176,1,9,0.974,0.544,0.245,0.0293,0,171440,13,1936,2361
78197,848784,Country,0.574,0.155,0.427,97.328,-14.159,1,0,0.992,0.942,0.162,0.0303,0,182640,5,1936,2361
78194,848784,Country,0.789,0.235,0.876,105.519,-12.218,1,9,0.992,0.367,0.212,0.0488,0,168240,3,1936,2361
78195,848784,Country,0.507,0.204,0.622,179.45,-15.216,1,9,0.981,0.0172,0.153,0.0354,0,162067,3,1936,2361
78196,848784,Country,0.661,0.148,0.544,100.166,-12.962,1,9,0.915,8.95E-06,0.188,0.0341,0,154667,3,1936,2361
78206,848784,Country,0.578,0.208,0.585,133.253,-11.752,1,9,0.986,0.0084,0.259,0.0486,0,174027,3,1936,2361
78188,848784,Country,0.55,0.365,0.737,117.66,-10.068,1,2,0.967,0.000346,0.17,0.0391,0,170600,2,1936,2361
78191,848784,Country,0.731,0.212,0.692,96.466,-15.809,0,9,0.974,0.226,0.161,0.0335,0,169973,2,1936,2361
78198,848784,Country,0.587,0.127,0.58,102.217,-14.302,1,5,0.961,0.00218,0.113,0.0322,0,158533,2,1936,2361
78199,848784,Country,0.761,0.212,0.551,99.593,-14.91,1,0,0.96,0.0875,0.123,0.0395,0,144827,2,1936,2361
78204,848784,Country,0.806,0.436,0.939,102.858,-9.781,1,9,0.908,0.043,0.108,0.0282,0,151400,2,1936,2361
78209,848784,Country,0.59,0.284,0.669,91.496,-11.423,1,5,0.991,1.64E-05,0.446,0.0283,0,155667,2,1936,2361
78210,848784,Country,0.344,0.2,0.542,184.415,-15.508,1,7,0.989,0.16,0.1,0.0367,0,165227,2,1936,2361
78212,848784,Country,0.772,0.0463,0.371,112.519,-15.193,1,5,0.994,2.42E-06,0.127,0.0397,0,167800,2,1936,2361
78218,848784,Country,0.74,0.399,0.916,127.949,-11.892,1,9,0.967,0.134,0.106,0.0357,0,156333,2,1936,2361
78219,848784,Country,0.587,0.225,0.421,103.981,-15.105,1,9,0.977,5.10E-05,0.209,0.0505,0,155867,2,1936,2361
78184,848784,Country,0.512,0.245,0.572,173.422,-14.394,1,7,0.943,1.20E-05,0.139,0.0596,0,165627,1,1936,2361
78200,848784,Country,0.693,0.118,0.455,101.201,-15.106,1,2,0.993,0.0298,0.152,0.0348,0,148707,1,1936,2361
78203,848784,Country,0.556,0.58,0.801,146.024,-10.201,1,9,0.955,0.165,0.664,0.0475,0,172827,1,1936,2361
78205,848784,Country,0.626,0.0937,0.64,142.955,-14.193,1,9,0.988,0.00364,0.224,0.0421,0,170307,1,1936,2361
78213,848784,Country,0.831,0.245,0.698,137.087,-11.13,1,4,0.989,0.0792,0.138,0.0416,0,162867,1,1936,2361
78186,848784,Country,0.598,0.217,0.819,83.054,-16.183,1,7,0.951,5.57E-06,0.237,0.0866,0,189733,0,1936,2361
78187,848784,Country,0.768,0.336,0.747,118.072,-14.591,1,9,0.86,7.74E-05,0.105,0.088,0,178667,0,1936,2361
78192,848784,Country,0.561,0.298,0.647,171.919,-15.201,1,7,0.939,0.00646,0.102,0.24,0,183533,0,1936,2361
78193,848784,Country,0.523,0.137,0.508,177.495,-16.283,1,7,0.989,2.09E-06,0.351,0.102,0,163293,0,1936,2361
78202,848784,Country,0.459,0.212,0.883,199.096,-15.934,1,9,0.968,1.67E-05,0.131,0.0631,0,154493,0,1936,2361
78211,848784,Country,0.834,0.366,0.962,120.103,-14.506,1,9,0.931,0.00373,0.209,0.0404,0,168200,0,1936,2361
78214,848784,Country,0.593,0.21,0.849,167.837,-13.238,1,7,0.855,0,0.241,0.0353,0,160307,0,1936,2361
78220,848784,Country,0.566,0.21,0.51,115.355,-13.584,1,0,0.943,3.54E-06,0.189,0.0334,0,171000,0,1936,2361
78229,848784,Country,0.798,0.257,0.696,116.185,-16.294,1,9,0.979,0.0847,0.209,0.0351,0,151907,0,1936,2361
78230,848784,Country,0.669,0.155,0.625,78.388,-12.543,1,9,0.922,0,0.202,0.0334,0,158627,0,1936,2361
78869,858710,Country,0.489,0.233,0.386,101.613,-12.432,1,5,0.93,0,0.0839,0.0327,0,166400,8,1937,2362
57133,583959,Country,0.376,0.245,0.223,115.248,-17.02,1,2,0.132,0.0381,0.16,0.043,0,185427,7,1937,2362
30388,207644,Country,0.653,0.405,0.625,68.585,-11.148,1,7,0.403,0.000106,0.0622,0.0319,0,272867,3,1937,2362
78221,848784,Country,0.717,0.37,0.881,99.425,-10.119,1,9,0.763,0,0.424,0.0365,0,155388,40,1938,2363
78228,848784,Country,0.562,0.255,0.501,114.008,-10.256,1,0,0.742,0,0.138,0.031,0,173035,37,1938,2363
78208,848784,Country,0.484,0.319,0.532,154.845,-9.421,1,7,0.831,0,0.27,0.0306,0,159800,18,1938,2363
78216,848784,Country,0.67,0.376,0.766,107.086,-9.544,1,9,0.878,5.66E-06,0.709,0.0296,0,153107,13,1938,2363
78189,848784,Country,0.555,0.506,0.706,171.736,-10.239,1,7,0.804,1.53E-06,0.115,0.147,0,157292,11,1938,2363
78231,848784,Country,0.812,0.4,0.727,116.154,-9.717,1,9,0.96,0.00278,0.296,0.033,0,150326,9,1938,2363
78225,848784,Country,0.839,0.572,0.963,120.61,-7.857,1,9,0.846,0.000176,0.0922,0.045,0,167973,8,1938,2363
78201,848784,Country,0.813,0.415,0.923,101.912,-9.322,1,9,0.93,0.0248,0.0988,0.0286,0,153200,7,1938,2363
78226,848784,Country,0.735,0.562,0.851,110.345,-6.654,1,9,0.729,0,0.0898,0.0312,0,162600,7,1938,2363
78185,848784,Country,0.619,0.359,0.86,168.614,-7.464,1,7,0.785,0,0.284,0.036,0,159707,6,1938,2363
78215,848784,Country,0.538,0.239,0.562,175.173,-10.619,1,7,0.963,0,0.373,0.0932,0,165140,6,1938,2363
78223,848784,Country,0.44,0.399,0.756,174.314,-9.593,1,7,0.885,0,0.39,0.0419,0,165067,3,1938,2363
2440,20760,Country,0.488,0.253,0.174,126.867,-11.474,0,9,0.876,0,0.112,0.0666,0,266280,2,1941,2366
38145,293391,Country,0.0827,0.0184,0.0691,81.885,-29.09,1,2,0.915,0.27,0.173,0.0479,0,347693,5,1945,2370
12298,81083,Country,0.568,0.196,0.565,123.302,-13.042,1,2,0.866,0.129,0.229,0.0325,0,166160,36,1946,2371
12302,81083,Country,0.489,0.352,0.9,191.187,-13.626,1,9,0.939,0.102,0.432,0.0463,0,165173,18,1946,2371
