artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
['Frank Sinatra'],[792507],0.499,0.0748,0.429,113.268,-13.552,1,1,0.924,0.014,0.55,0.044,0,193840,3,1925,1925,Imagination
['Frank Sinatra'],[792507],0.309,0.207,0.206,111.366,-13.665,0,9,0.958,0.0993,0.632,0.0366,0,177947,14,1939,1939,Let's Get Lost
['Frank Sinatra'],[792507],0.236,0.234,0.273,97.282,-13.87,1,8,0.968,0.00252,0.563,0.033,0,161613,11,1939,1939,Long Ago And Far Away
['Frank Sinatra'],[792507],0.333,0.18,0.35,172.68,-10.083,1,2,0.951,0.00477,0.226,0.036,0,184093,3,1939,1939,I'll Be Seeing You
['Frank Sinatra'],[792507],0.582,0.33,0.564,127.6,-10.687,1,0,0.958,0.000574,0.863,0.0536,0,161507,1,1939,1939,******** ***** (Is The Loneliest ***** Of The Week)
['Frank Sinatra'],[792507],0.204,0.151,0.134,91.783,-17.842,1,2,0.947,9.15E-06,0.321,0.0418,0,198000,54,1943,1943,******* to Watch Over Me
['Frank Sinatra'],[792507],0.484,0.0635,0.263,70.617,-18.572,1,3,0.94,2.47E-05,0.105,0.0476,0,197240,18,1943,1943,I've Got a Crush on You
['Frank Sinatra'],[792507],0.292,0.226,0.198,92.671,-14.566,1,3,0.917,0.00801,0.158,0.0378,0,173307,17,1943,1943,Embraceable You
['Frank Sinatra'],[792507],0.619,0.28,0.632,148.8,-11.14,0,0,0.807,0,0.178,0.0506,0,111867,15,1943,1943,******** Loves Me
['Frank Sinatra'],[792507],0.684,0.21,0.602,171.666,-16.026,1,10,0.986,0.35,0.951,0.105,0,64867,13,1943,1943,'S Wonderful
['Frank Sinatra'],[792507],0.362,0.193,0.264,108.096,-15.832,0,1,0.975,0.126,0.746,0.0452,0,146467,10,1943,1943,I've Got a Crush on You
['Frank Sinatra'],[792507],0.506,0.231,0.545,139.376,-10.446,1,3,0.916,0,0.529,0.0519,0,103373,9,1943,1943,A Foggy Day
['Frank Sinatra'],[792507],0.251,0.314,0.237,99.198,-13.784,1,6,0.992,0.655,0.832,0.0496,0,184693,9,1943,1943,Love Walked In
['Frank Sinatra'],[792507],0.584,0.175,0.393,117.984,-19.122,1,2,0.979,0,0.746,0.752,0,89267,8,1943,1943,***** And Day (Show Opening)
['Frank Sinatra'],[792507],0.268,0.281,0.271,87.133,-11.375,0,4,0.915,4.64E-05,0.867,0.032,0,318667,9,1943,1943,***** And Bess Medley # *
['Frank Sinatra'],[792507],0.31,0.15,0.247,118.606,-19.119,1,9,0.992,0.32,0.431,0.0567,0,142173,8,1943,1943,******* To Watch Over Me
['Frank Sinatra'],[792507],0.23,0.195,0.235,87.15,-12.294,1,2,0.937,9.49E-05,0.627,0.0356,0,176027,9,1943,1943,"Oh Bess, Where's My Bess?"
['Frank Sinatra'],[792507],0.467,0.21,0.555,165.129,-15.25,1,10,0.985,0,0.853,0.194,0,117467,8,1943,1943,Soon
['Frank Sinatra'],[792507],0.301,0.143,0.316,83.472,-19.298,0,5,0.989,0.00315,0.893,0.0573,0,157933,9,1943,1943,Embraceable You
