o,id,genre,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,,
238,3413,Vocal,0.288,0.363,0.241,67.846,-11.148,0,8,0.992,0.805,0.223,0.0376,0,115953,0,1936,5755,,
239,3413,Vocal,0.352,0.465,0.339,118.94,-9.459,1,11,0.989,0.0621,0.825,0.0597,0,406223,0,1936,5755,,
695,5980,Vocal,0.625,0.472,0.739,163.41,-16.407,1,5,0.752,0.00298,0.154,0.153,0,166160,59,1981,2406,,
694,5980,Vocal,0.669,0.425,0.7,165.314,-18.404,1,5,0.799,0.0111,0.152,0.14,0,166507,50,1990,253,,
804,6334,Vocal,0.444,0.39,0.566,115.474,-12.88,0,0,0.814,0,0.14,0.0408,0,133133,13,1936,2361,,
808,6334,Vocal,0.506,0.665,0.964,97.955,-12.195,0,5,0.776,0.00574,0.275,0.0462,0,85907,0,1936,2361,,
787,6334,Vocal,0.485,0.359,0.588,139.396,-13.72,0,4,0.66,0,0.356,0.0564,0,197907,0,1945,2370,,
795,6334,Vocal,0.227,0.235,0.108,85.263,-13.836,1,6,0.98,0.00176,0.157,0.032,0,183333,3,1950,2375,,
818,6334,Vocal,0.45,0.376,0.578,114.916,-13.572,0,0,0.813,0,0.0947,0.0423,0,133493,0,1953,2378,,
791,6334,Vocal,0.573,0.231,0.451,135.343,-14.418,0,0,0.919,0.00117,0.0964,0.0767,0,250400,13,1955,2770,,
835,6334,Vocal,0.37,0.131,0.117,111.971,-16.034,0,2,0.983,0.00499,0.108,0.0463,0,167627,11,1955,2770,,
847,6334,Vocal,0.59,0.1,0.531,82.321,-16.479,1,3,0.969,1.55E-06,0.151,0.0428,0,139467,11,1955,2770,,
842,6334,Vocal,0.308,0.165,0.397,53.052,-12.705,1,10,0.975,0.000265,0.104,0.0548,0,151067,10,1955,2770,,
838,6334,Vocal,0.499,0.27,0.804,180.062,-13.803,0,2,0.859,0.000342,0.0952,0.0453,0,187293,9,1955,2770,,
831,6334,Vocal,0.562,0.265,0.573,84.273,-12.457,1,0,0.926,0,0.34,0.043,0,172160,8,1955,2770,,
811,6334,Vocal,0.413,0.0735,0.2,70.245,-17.054,1,0,0.974,0.000643,0.0935,0.0379,0,291973,7,1955,2770,,
784,6334,Vocal,0.397,0.156,0.154,110.01,-12.603,1,8,0.972,4.49E-06,0.0896,0.0364,0,198827,6,1955,2770,,
805,6334,Vocal,0.452,0.141,0.212,115.998,-13.941,0,2,0.962,2.76E-05,0.308,0.0409,0,272293,6,1955,2770,,
786,6334,Vocal,0.354,0.0956,0.162,70.909,-16.683,0,9,0.978,7.40E-06,0.113,0.0443,0,135333,5,1955,2770,,
843,6334,Vocal,0.598,0.567,0.681,108.77,-6.695,0,4,0.791,0,0.149,0.0482,0,151560,33,1957,2382,,
819,6334,Vocal,0.581,0.426,0.951,83.85,-16.366,1,0,0.871,0,0.143,0.169,0,143693,15,1957,2382,,
833,6334,Vocal,0.485,0.117,0.126,65.788,-12.478,0,11,0.94,0,0.084,0.0364,0,177733,12,1957,2382,,
800,6334,Vocal,0.439,0.556,0.834,162.219,-4.516,1,8,0.565,0,0.0546,0.0366,0,158827,8,1957,2382,,
772,6334,Vocal,0.477,0.559,0.724,157.039,-4.945,1,7,0.731,3.51E-06,0.215,0.0395,0,131587,7,1957,2382,,
782,6334,Vocal,0.301,0.34,0.13,87.777,-7.785,1,5,0.826,0,0.214,0.0296,0,166840,7,1957,2382,,
803,6334,Vocal,0.522,0.416,0.609,141.529,-7.62,1,7,0.719,0,0.0925,0.0385,0,178507,7,1957,2382,,
821,6334,Vocal,0.532,0.514,0.741,121.035,-13.369,1,1,0.755,0,0.141,0.156,0,119560,7,1957,2382,,
848,6334,Vocal,0.408,0.538,0.399,113.821,-4.831,1,8,0.794,0,0.419,0.0353,0,206720,7,1957,2382,,
823,6334,Vocal,0.249,0.188,0.1,93.054,-16.105,1,2,0.967,2.23E-05,0.188,0.035,0,186467,11,1958,2383,,
777,6334,Vocal,0.3,0.172,0.0703,80.446,-15.541,1,1,0.982,0.0351,0.12,0.0346,0,188640,9,1958,2383,,
816,6334,Vocal,0.226,0.289,0.146,86.308,-12.005,1,7,0.934,1.33E-05,0.0932,0.037,0,172987,7,1958,2383,,
828,6334,Vocal,0.477,0.448,0.782,136.998,-11.766,1,0,0.881,4.84E-05,0.057,0.0545,0,141733,29,1959,2384,,
