"","V1","V2"
"1","184502","792507"
"2","411761","792507"
"3","189644","792507"
"4","811622","792507"
"5","260038","792507"
"6","51909","792507"
"7","158717","792507"
"8","232480","119107"
"9","1535255","119107"
"10","781423","119107"
"11","923497","119107"
"12","242966","119107"
"13","822777","119107"
"14","45745","119107"
"15","944310","816890"
"16","354189","816890"
"17","578031","816890"
"18","355451","816890"
"19","215997","816890"
"20","256349","79016"
"21","467749","79016"
"22","185948","79016"
"23","745071","79016"
"24","762724","79016"
"25","773666","79016"
"26","669015","79016"
"27","29084","894465"
"28","950956","894465"
"29","64145","180228"
"30","551815","26350"
"31","129778","26350"
"32","254972","26350"
"33","870589","26350"
"34","803162","26350"
"35","81231","26350"
"36","175553","423829"
"37","39656","423829"
"38","922911","423829"
"39","206538","423829"
"40","1072783","423829"
"41","792507","184502"
"42","411761","184502"
"43","811622","184502"
"44","314113","184502"
"45","99198","184502"
"46","324819","184502"
"47","48908","184502"
"48","317093","813392"
"49","14651","813392"
"50","496097","813392"
"51","213590","813392"
"52","11028","813392"
"53","149166","813392"
"54","315336","132940"
"55","673360","132940"
"56","11028","132940"
"57","206967","803752"
"58","201678","803752"
"59","824866","803752"
"60","151666","803752"
"61","807294","803752"
"62","792507","411761"
"63","184502","411761"
"64","204901","411761"
"65","811622","411761"
"66","314113","411761"
"67","568368","411761"
"68","1950198","411761"
"69","99198","411761"
"70","48908","411761"
"71","588918","411761"
"72","849672","239859"
"73","81231","239859"
"74","510953","577627"
"75","795054","577627"
"76","80340","577627"
"77","611881","577627"
"78","936946","583959"
"79","577531","583959"
"80","75171","583959"
"81","23982","583959"
"82","91852","583959"
"83","17882","583959"
"84","638603","988440"
"85","423829","175553"
"86","226380","175553"
"87","208404","175553"
"88","61912","490416"
"89","74005","490416"
"90","764702","490416"
"91","119111","490416"
"92","765435","490416"
"93","18137","490416"
"94","961688","490416"
"95","640675","489316"
"96","642664","489316"
"97","201678","489316"
"98","119111","489316"
"99","209773","489316"
"100","824866","489316"
"101","159791","489316"
"102","147245","489316"
"103","251604","219203"
"104","137401","200791"
"105","829643","100160"
"106","16132","883318"
"107","888484","883318"
"108","2991317","883318"
"109","6334","216348"
"110","409954","216348"
"111","117064","216348"
"112","162930","216348"
"113","758661","216348"
"114","337856","216348"
"115","806991","216348"
"116","954694","216348"
"117","608701","927555"
"118","165011","927555"
"119","345708","927555"
"120","792507","189644"
"121","204901","189644"
"122","260038","189644"
"123","46861","189644"
"124","763551","189644"
"125","315336","189644"
"126","796741","189644"
"127","304458","189644"
"128","99198","189644"
"129","213590","189644"
"130","855405","189644"
"131","762921","189644"
"132","149166","189644"
"133","840402","346336"
"134","100659","346336"
"135","894956","238115"
"136","329468","238115"
"137","20984","238115"
"138","757342","84209"
"139","614933","84209"
"140","803115","84209"
"141","490554","84209"
"142","411761","204901"
"143","189644","204901"
"144","811622","204901"
"145","6334","204901"
"146","294923","204901"
"147","324819","204901"
"148","158717","204901"
"149","149166","204901"
"150","119107","232480"
"151","988471","232480"
"152","2596970","232480"
"153","687933","232480"
"154","923497","232480"
"155","179698","232480"
"156","795288","232480"
"157","775212","232480"
"158","678852","232480"
"159","119107","1535255"
"160","988471","1535255"
"161","2596970","1535255"
"162","687933","1535255"
"163","923497","1535255"
"164","179698","1535255"
"165","795288","1535255"
"166","775212","1535255"
"167","678852","1535255"
"168","195634","131650"
"169","813392","317093"
"170","796741","317093"
"171","673360","317093"
"172","304458","317093"
"173","567822","467203"
"174","39656","9680"
"175","226380","9680"
"176","36934","9680"
"177","206538","9680"
"178","119107","781423"
"179","81841","781423"
"180","119111","781423"
"181","868092","781423"
"182","360956","781423"
"183","18137","781423"
"184","97529","781423"
"185","19435","781423"
"186","183867","781423"
"187","275832","781423"
"188","558339","781423"
"189","81231","781423"
"190","119629","781423"
"191","350892","781423"
"192","286092","781423"
"193","847880","781423"
"194","247966","615026"
"195","185948","615026"
"196","571845","615026"
"197","162930","615026"
"198","260007","615026"
"199","23925","615026"
"200","79016","256349"
