All,year,Pop/Rock,Latin,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,New Age,R&B;,Reggae,Religious,Stage & Screen,Unknown,Vocal
2,1921,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1924,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,1925,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1926,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12,1927,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,5
11,1928,0,0,1,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1
1,1929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1930,8,0,0,20,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,28
28,1931,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0
11,1932,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3
270,1933,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
37,1934,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,23
86,1935,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,1,0,65
154,1936,0,0,2,1,0,8,0,31,0,0,0,0,12,0,1,15,0,1,0,83
172,1937,0,0,0,3,0,1,0,3,0,0,0,6,50,0,0,0,0,0,0,109
167,1938,1,0,0,0,0,115,0,12,0,0,0,0,9,0,0,0,0,0,0,30
124,1939,0,1,0,26,0,0,0,0,0,0,0,2,21,0,0,0,0,7,0,67
80,1940,0,0,0,0,0,6,0,0,0,1,0,4,9,0,0,35,0,0,0,25
196,1941,2,26,35,25,0,9,0,1,0,0,0,7,3,16,2,0,0,17,0,53
253,1942,80,0,0,0,0,66,0,0,3,0,0,17,28,0,1,26,1,2,0,29
67,1943,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,36,0,20
108,1944,0,1,0,16,0,8,0,0,3,0,0,15,25,0,0,0,0,0,0,40
233,1945,1,0,0,76,0,22,0,1,2,0,0,12,51,0,0,0,0,4,0,64
153,1946,0,32,0,0,0,19,0,7,2,0,0,9,27,0,0,0,0,23,0,34
303,1947,3,4,0,17,0,159,1,28,8,0,0,12,2,0,2,8,0,41,0,18
295,1948,0,37,6,0,0,117,0,0,0,0,0,32,9,0,0,0,0,0,0,94
443,1949,3,21,0,16,0,45,0,25,4,11,15,88,53,0,2,0,0,21,0,139
381,1950,0,13,0,0,0,122,0,39,8,9,0,54,43,0,9,0,0,6,0,78
424,1951,2,26,0,5,0,47,0,51,2,0,11,80,92,0,7,0,12,0,0,89
476,1952,0,12,0,6,0,48,0,57,16,1,25,91,106,0,13,9,0,5,0,87
589,1953,0,3,0,5,0,142,4,11,14,0,13,92,174,0,4,0,0,6,0,121
725,1954,2,7,4,2,0,78,0,28,44,0,56,40,276,0,12,0,0,6,0,170
1118,1955,4,54,9,6,0,159,1,41,23,0,35,34,450,0,5,7,0,0,0,290
1317,1956,35,32,26,34,0,112,12,94,31,0,36,7,407,0,44,0,15,30,0,402
1475,1957,85,45,8,52,0,153,0,102,42,0,12,23,486,0,70,1,0,12,0,384
1383,1958,144,74,1,47,0,64,0,85,124,0,40,15,268,0,97,0,14,0,0,410
1484,1959,153,28,22,25,0,32,45,97,62,0,43,6,466,0,132,7,0,27,0,339
1426,1960,213,41,27,98,7,61,18,139,47,0,57,36,275,0,141,0,2,39,0,225
1315,1961,233,39,1,35,12,83,11,88,54,0,34,12,324,0,158,0,2,5,0,224
1464,1962,251,45,8,47,11,51,11,93,92,0,59,14,294,0,197,0,6,5,0,280
1398,1963,439,41,2,10,1,30,14,168,49,1,50,3,265,0,145,5,3,1,0,171
1439,1964,413,48,3,14,0,58,19,134,34,0,78,21,194,1,201,16,0,12,0,193
1518,1965,616,53,2,25,0,2,20,106,33,0,137,12,123,0,192,38,0,24,0,135
1484,1966,778,27,2,45,2,7,4,106,17,0,51,8,74,0,175,11,0,35,0,142
1611,1967,898,88,2,50,1,10,0,84,11,0,68,6,70,0,142,43,0,26,0,112
1623,1968,835,46,1,50,0,6,7,148,13,3,41,15,110,0,227,31,2,2,0,86
1713,1969,1122,32,10,53,0,2,0,79,2,0,59,25,57,0,174,34,0,3,0,61
1683,1970,1182,42,0,12,0,5,0,83,3,4,47,13,33,0,208,16,0,12,0,23
1727,1971,1114,43,0,37,0,7,0,95,2,0,55,12,32,0,286,8,0,0,0,36
1601,1972,935,75,1,17,4,1,1,89,1,3,37,25,39,1,339,2,4,0,0,27
1730,1973,1117,54,0,18,0,8,1,111,1,2,17,10,47,3,238,77,0,5,0,21
1642,1974,1106,18,0,13,0,11,0,126,1,12,29,5,78,0,198,12,0,6,0,27
1639,1975,950,52,0,3,0,3,11,199,1,17,36,10,54,1,244,39,3,0,1,15
1653,1976,973,29,0,14,0,29,1,141,1,4,21,9,72,2,238,81,0,15,0,23
1720,1977,1181,32,0,17,0,6,0,82,2,15,31,22,63,3,172,74,1,1,0,18
1589,1978,994,68,4,14,0,3,8,135,2,9,7,15,45,1,185,62,5,0,0,32
1620,1979,1122,38,1,6,1,6,10,98,6,19,10,19,37,1,174,24,1,28,0,19
1638,1980,1088,78,0,7,0,5,2,121,1,3,9,12,39,10,179,37,1,18,0,28
1598,1981,1085,35,1,10,0,54,0,128,0,16,4,24,42,16,132,18,0,9,0,24
1594,1982,1072,50,5,12,0,9,14,99,3,0,1,35,30,13,175,49,9,8,0,10
1555,1983,1144,54,0,5,0,5,16,67,0,8,4,28,19,2,121,40,7,18,0,17
1533,1984,1031,151,0,3,0,23,6,68,0,0,1,25,15,11,113,65,3,5,0,13
1453,1985,1031,70,0,3,0,5,8,97,0,4,5,16,29,2,141,10,9,12,0,11
1506,1986,998,88,8,16,0,1,18,81,0,10,0,23,48,10,151,13,5,19,0,17
1530,1987,1005,67,0,5,0,9,0,143,6,5,6,29,39,17,141,6,9,5,0,38
1429,1988,980,121,0,0,0,13,2,83,2,2,3,3,39,16,97,18,10,9,0,31
1414,1989,926,83,0,30,0,8,1,113,1,11,16,30,33,0,107,2,30,5,0,18
1353,1990,821,148,0,9,0,14,4,97,0,17,10,26,19,1,107,16,15,26,0,23
1430,1991,765,144,1,10,0,11,0,135,1,15,11,8,36,33,172,23,28,10,1,26
1316,1992,763,136,0,7,0,7,0,108,1,28,4,13,27,3,143,15,8,22,7,24
1285,1993,698,128,0,8,0,4,5,114,1,29,2,18,18,13,164,30,18,6,0,29
1322,1994,801,102,0,15,1,10,1,123,0,31,7,9,21,13,153,8,6,11,1,9
1260,1995,718,111,2,2,0,11,0,140,0,22,1,9,18,13,141,16,14,27,1,14
1234,1996,681,81,0,4,0,2,2,131,1,59,12,5,14,4,181,15,14,1,2,25
1193,1997,674,91,5,8,2,8,12,90,0,41,3,7,21,2,172,13,10,20,0,14
1160,1998,611,113,7,5,0,5,2,121,1,65,15,13,13,2,138,4,17,12,0,16
1173,1999,688,110,0,4,0,5,1,101,1,32,4,2,28,2,142,16,14,6,0,17
1220,2000,723,45,3,6,6,6,0,107,0,35,3,8,9,14,198,18,21,8,0,10
1219,2001,699,100,1,4,0,3,1,72,0,54,6,8,14,6,177,16,21,28,0,9
1263,2002,780,76,1,2,0,7,1,116,1,33,1,4,16,2,134,44,16,19,0,10
1297,2003,830,67,1,3,3,7,4,83,0,16,10,2,8,1,158,15,31,41,0,17
1249,2004,763,68,0,3,0,7,1,165,0,18,5,2,12,1,140,10,12,26,0,16
1203,2005,706,66,1,6,0,2,1,108,1,25,7,10,8,10,172,26,29,10,0,15
1269,2006,770,96,1,2,1,6,1,125,2,40,5,2,12,1,134,14,28,23,0,6
1202,2007,777,61,0,3,0,1,1,107,0,33,6,5,9,5,143,15,11,12,0,13
1143,2008,737,34,0,1,0,0,5,112,0,32,0,3,8,6,156,14,25,3,0,7
1049,2009,642,59,2,4,0,0,7,122,1,24,1,21,10,4,101,11,22,8,0,10
994,2010,583,71,0,0,0,3,0,156,0,48,0,0,1,1,94,5,24,5,0,3
887,2011,531,33,0,1,1,0,3,105,0,50,6,1,6,1,100,7,33,5,0,4
919,2012,618,46,2,0,0,0,0,59,2,27,1,1,2,0,129,7,17,7,0,1
894,2013,582,25,0,0,0,1,0,90,8,35,0,3,1,1,75,4,29,23,0,17
753,2014,458,28,0,0,0,4,0,100,2,31,1,0,3,0,99,5,15,7,0,0
686,2015,419,22,0,0,0,1,0,61,0,42,0,0,2,1,115,3,14,0,0,6
534,2016,317,16,1,0,0,0,1,48,0,32,0,1,0,1,105,3,9,0,0,0
473,2017,288,22,0,0,0,1,0,50,0,25,0,0,0,0,76,1,10,0,0,0
405,2018,224,24,0,0,0,1,0,51,0,29,0,0,1,0,68,2,5,0,0,0
421,2019,235,38,0,0,0,0,0,55,0,19,0,0,1,0,65,1,4,0,0,3
427,2020,196,63,0,0,0,0,0,27,0,39,0,0,0,0,92,2,8,0,0,0
